name,bbox
tile_000547,"2497050,1121850,2497550,1122350"
tile_000548,"2497050,1125450,2497550,1125950"
tile_000549,"2497050,1139850,2497550,1140350"
tile_000550,"2497050,1140750,2497550,1141250"
tile_000551,"2497050,1142100,2497550,1142600"
tile_000552,"2497050,1142550,2497550,1143050"
tile_000553,"2497050,1143000,2497550,1143500"
tile_000554,"2497050,1143450,2497550,1143950"
tile_000555,"2497050,1144800,2497550,1145300"
tile_000556,"2497050,1145250,2497550,1145750"
tile_000557,"2497500,1111050,2498000,1111550"
tile_000558,"2497500,1111500,2498000,1112000"
tile_000559,"2497500,1111950,2498000,1112450"
tile_000560,"2497500,1112400,2498000,1112900"
tile_000561,"2497500,1112850,2498000,1113350"
tile_000562,"2497500,1113300,2498000,1113800"
tile_000563,"2497500,1113750,2498000,1114250"
tile_000564,"2497500,1114200,2498000,1114700"
tile_000565,"2497500,1114650,2498000,1115150"
tile_000566,"2497500,1115100,2498000,1115600"
tile_000567,"2497500,1115550,2498000,1116050"
tile_000568,"2497500,1116000,2498000,1116500"
tile_000569,"2497500,1116450,2498000,1116950"
tile_000570,"2497500,1116900,2498000,1117400"
tile_000571,"2497500,1117350,2498000,1117850"
tile_000572,"2497500,1117800,2498000,1118300"
tile_000573,"2497500,1118250,2498000,1118750"
tile_000574,"2497500,1118700,2498000,1119200"
tile_000575,"2497500,1119150,2498000,1119650"
tile_000576,"2497500,1119600,2498000,1120100"
tile_000577,"2497500,1120050,2498000,1120550"
tile_000578,"2497500,1120500,2498000,1121000"
tile_000579,"2497500,1120950,2498000,1121450"
tile_000580,"2497500,1121400,2498000,1121900"
tile_000581,"2497500,1121850,2498000,1122350"
tile_000582,"2497500,1125450,2498000,1125950"
